"week","count","type"
"2011-01-02 - 2011-01-08",15,"data journalism"
"2011-01-09 - 2011-01-15",13,"data journalism"
"2011-01-16 - 2011-01-22",19,"data journalism"
"2011-01-23 - 2011-01-29",14,"data journalism"
"2011-01-30 - 2011-02-05",25,"data journalism"
"2011-02-06 - 2011-02-12",22,"data journalism"
"2011-02-13 - 2011-02-19",13,"data journalism"
"2011-02-20 - 2011-02-26",15,"data journalism"
"2011-02-27 - 2011-03-05",17,"data journalism"
"2011-03-06 - 2011-03-12",19,"data journalism"
"2011-03-13 - 2011-03-19",21,"data journalism"
"2011-03-20 - 2011-03-26",23,"data journalism"
"2011-03-27 - 2011-04-02",15,"data journalism"
"2011-04-03 - 2011-04-09",18,"data journalism"
"2011-04-10 - 2011-04-16",13,"data journalism"
"2011-04-17 - 2011-04-23",13,"data journalism"
"2011-04-24 - 2011-04-30",13,"data journalism"
"2011-05-01 - 2011-05-07",15,"data journalism"
"2011-05-08 - 2011-05-14",17,"data journalism"
"2011-05-15 - 2011-05-21",12,"data journalism"
"2011-05-22 - 2011-05-28",17,"data journalism"
"2011-05-29 - 2011-06-04",14,"data journalism"
"2011-06-05 - 2011-06-11",14,"data journalism"
"2011-06-12 - 2011-06-18",14,"data journalism"
"2011-06-19 - 2011-06-25",14,"data journalism"
"2011-06-26 - 2011-07-02",15,"data journalism"
"2011-07-03 - 2011-07-09",14,"data journalism"
"2011-07-10 - 2011-07-16",14,"data journalism"
"2011-07-17 - 2011-07-23",14,"data journalism"
"2011-07-24 - 2011-07-30",14,"data journalism"
"2011-07-31 - 2011-08-06",14,"data journalism"
"2011-08-07 - 2011-08-13",13,"data journalism"
"2011-08-14 - 2011-08-20",13,"data journalism"
"2011-08-21 - 2011-08-27",13,"data journalism"
"2011-08-28 - 2011-09-03",13,"data journalism"
"2011-09-04 - 2011-09-10",14,"data journalism"
"2011-09-11 - 2011-09-17",16,"data journalism"
"2011-09-18 - 2011-09-24",15,"data journalism"
"2011-09-25 - 2011-10-01",15,"data journalism"
"2011-10-02 - 2011-10-08",23,"data journalism"
"2011-10-09 - 2011-10-15",14,"data journalism"
"2011-10-16 - 2011-10-22",11,"data journalism"
"2011-10-23 - 2011-10-29",12,"data journalism"
"2011-10-30 - 2011-11-05",14,"data journalism"
"2011-11-06 - 2011-11-12",15,"data journalism"
"2011-11-13 - 2011-11-19",19,"data journalism"
"2011-11-20 - 2011-11-26",23,"data journalism"
"2011-11-27 - 2011-12-03",14,"data journalism"
"2011-12-04 - 2011-12-10",16,"data journalism"
"2011-12-11 - 2011-12-17",13,"data journalism"
"2011-12-18 - 2011-12-24",12,"data journalism"
"2011-12-25 - 2011-12-31",12,"data journalism"
"2012-01-01 - 2012-01-07",12,"data journalism"
"2012-01-08 - 2012-01-14",12,"data journalism"
"2012-01-15 - 2012-01-21",28,"data journalism"
"2012-01-22 - 2012-01-28",25,"data journalism"
"2012-01-29 - 2012-02-04",13,"data journalism"
"2012-02-05 - 2012-02-11",12,"data journalism"
"2012-02-12 - 2012-02-18",19,"data journalism"
"2012-02-19 - 2012-02-25",20,"data journalism"
"2012-02-26 - 2012-03-03",19,"data journalism"
"2012-03-04 - 2012-03-10",25,"data journalism"
"2012-03-11 - 2012-03-17",21,"data journalism"
"2012-03-18 - 2012-03-24",22,"data journalism"
"2012-03-25 - 2012-03-31",33,"data journalism"
"2012-04-01 - 2012-04-07",28,"data journalism"
"2012-04-08 - 2012-04-14",37,"data journalism"
"2012-04-15 - 2012-04-21",17,"data journalism"
"2012-04-22 - 2012-04-28",39,"data journalism"
"2012-04-29 - 2012-05-05",45,"data journalism"
"2012-05-06 - 2012-05-12",27,"data journalism"
"2012-05-13 - 2012-05-19",33,"data journalism"
"2012-05-20 - 2012-05-26",37,"data journalism"
"2012-05-27 - 2012-06-02",29,"data journalism"
"2012-06-03 - 2012-06-09",26,"data journalism"
"2012-06-10 - 2012-06-16",39,"data journalism"
"2012-06-17 - 2012-06-23",27,"data journalism"
"2012-06-24 - 2012-06-30",19,"data journalism"
"2012-07-01 - 2012-07-07",20,"data journalism"
"2012-07-08 - 2012-07-14",28,"data journalism"
"2012-07-15 - 2012-07-21",27,"data journalism"
"2012-07-22 - 2012-07-28",26,"data journalism"
"2012-07-29 - 2012-08-04",25,"data journalism"
"2012-08-05 - 2012-08-11",15,"data journalism"
"2012-08-12 - 2012-08-18",17,"data journalism"
"2012-08-19 - 2012-08-25",10,"data journalism"
"2012-08-26 - 2012-09-01",24,"data journalism"
"2012-09-02 - 2012-09-08",22,"data journalism"
"2012-09-09 - 2012-09-15",33,"data journalism"
"2012-09-16 - 2012-09-22",23,"data journalism"
"2012-09-23 - 2012-09-29",27,"data journalism"
"2012-09-30 - 2012-10-06",17,"data journalism"
"2012-10-07 - 2012-10-13",30,"data journalism"
"2012-10-14 - 2012-10-20",29,"data journalism"
"2012-10-21 - 2012-10-27",26,"data journalism"
"2012-10-28 - 2012-11-03",16,"data journalism"
"2012-11-04 - 2012-11-10",34,"data journalism"
"2012-11-11 - 2012-11-17",36,"data journalism"
"2012-11-18 - 2012-11-24",22,"data journalism"
